epoch,accuracy,loss,val_accuracy,val_loss
0,0.4592013955116272,1.611890435218811,0.6484375,1.2710888385772705
1,0.7491319179534912,0.9057448506355286,0.75,0.8048579096794128
2,0.8315972089767456,0.6433790922164917,0.8359375,0.6679285168647766
3,0.8776041865348816,0.4806106984615326,0.828125,0.6370300054550171
4,0.9175347089767456,0.36747443675994873,0.8671875,0.5120481848716736
5,0.9626736044883728,0.26089608669281006,0.8984375,0.456324964761734
6,0.9782986044883728,0.216159850358963,0.890625,0.3946400284767151
7,0.9800347089767456,0.188418909907341,0.9140625,0.38540658354759216
8,0.9939236044883728,0.14531581103801727,0.921875,0.3379148244857788
9,0.9973958134651184,0.12212814390659332,0.8984375,0.4067184627056122
10,0.9965277910232544,0.10830165445804596,0.90625,0.4167601764202118
11,0.9982638955116272,0.09999305754899979,0.9375,0.2962454557418823
12,1.0,0.08779257535934448,0.9296875,0.30063799023628235
13,1.0,0.0812646672129631,0.9296875,0.2857320010662079
14,1.0,0.07627945393323898,0.921875,0.32455772161483765
15,1.0,0.07118318229913712,0.9375,0.27377238869667053
16,1.0,0.06763413548469543,0.9375,0.2820507287979126
17,0.9991319179534912,0.06774770468473434,0.9140625,0.3690161406993866
18,0.9930555820465088,0.09647638350725174,0.8984375,0.3784726858139038
19,0.9887152910232544,0.10242599993944168,0.90625,0.3685045838356018
20,0.9956597089767456,0.09442296624183655,0.90625,0.3886159658432007
21,0.9991319179534912,0.0707259550690651,0.9140625,0.3332536220550537
22,1.0,0.05647629499435425,0.9375,0.26770099997520447
23,1.0,0.04976046457886696,0.9296875,0.30424007773399353
24,1.0,0.046740103513002396,0.921875,0.29839709401130676
25,1.0,0.04495435580611229,0.921875,0.287158727645874
26,1.0,0.04374289512634277,0.9453125,0.27361392974853516
27,1.0,0.040998078882694244,0.9296875,0.27362489700317383
28,1.0,0.03964473307132721,0.9375,0.2754588723182678
29,1.0,0.0382952019572258,0.9296875,0.27102571725845337
