epoch,accuracy,loss,val_accuracy,val_loss
0,0.5190972089767456,1.4496660232543945,0.6640625,1.1725722551345825
1,0.7934027910232544,0.7349139451980591,0.796875,0.721340537071228
2,0.8784722089767456,0.48997747898101807,0.859375,0.5979957580566406
3,0.9131944179534912,0.3868657350540161,0.8359375,0.5314092636108398
4,0.9496527910232544,0.277427613735199,0.8671875,0.49666592478752136
5,0.9557291865348816,0.24605339765548706,0.8671875,0.4862925410270691
6,0.9626736044883728,0.22633010149002075,0.859375,0.545871913433075
7,0.9704861044883728,0.200090229511261,0.90625,0.41455715894699097
8,0.9852430820465088,0.14371947944164276,0.921875,0.3544729948043823
9,0.9921875,0.11672988533973694,0.9140625,0.3830934762954712
10,0.9939236044883728,0.10278736799955368,0.8984375,0.33036455512046814
11,0.9921875,0.10100553929805756,0.9453125,0.2995481491088867
12,0.9930555820465088,0.09916240721940994,0.9296875,0.2965300679206848
13,0.9965277910232544,0.08748297393321991,0.9296875,0.31117913126945496
14,0.9869791865348816,0.1084912046790123,0.90625,0.4044615924358368
15,0.9991319179534912,0.07400405406951904,0.90625,0.31740379333496094
16,1.0,0.06346146017313004,0.9140625,0.33133023977279663
17,1.0,0.05724940821528435,0.921875,0.3296079635620117
18,1.0,0.05446454510092735,0.9140625,0.30219918489456177
19,1.0,0.050774652510881424,0.9140625,0.28827646374702454
20,1.0,0.04757474735379219,0.90625,0.2797582447528839
21,1.0,0.04563252627849579,0.90625,0.30758950114250183
22,1.0,0.04481964185833931,0.90625,0.2949681878089905
23,1.0,0.04286860674619675,0.921875,0.26469290256500244
24,1.0,0.04132688045501709,0.90625,0.31822508573532104
25,1.0,0.03931497037410736,0.9140625,0.2813924252986908
26,1.0,0.038492847234010696,0.90625,0.30567994713783264
27,1.0,0.03654618561267853,0.9140625,0.2971345782279968
28,1.0,0.03552761673927307,0.90625,0.30293774604797363
29,1.0,0.03476397320628166,0.921875,0.2841869592666626
